"No","Mainnet Pubkey","state","Onboarding Priority","Onboarded @ Epoch"
1,"Dey6V8ibm3ov3xgaibCUtxPkQsiSz5ShVDRPwb7m9x8U","TestnetOnboarded",1503,"null"
2,"7JbE3o2dCUPBJE6pK5pMGkckHreXVECU4f2esmnuMCaJ","TestnetOnboarded",811,"null"
3,"LEEJAGFe9U4S5Jd5DYR6K28k48q82EnsiZFYjLuk9NH","TestnetOnboarded",1570,"null"
4,"GFuhhaMdp5kmjRsgAMtDXXxYVaDBd1rzx4M5uhucPrkp","TestnetOnboarded",974,"null"
6,"Lua1fxRRHCnjVAYdfGyv2GbUsRHGM2DN2wgpWuF2WSb","TestnetOnboarded",1584,"null"
7,"pineXRUnbaLNFMxaM3zBmFfTiKgQMGqT9jYHXZWq2Fw","Approved","null",845
8,"97jbhVBYcSmwGXjrx5PPWXucDsVBqwyoQ6rzP3B6eeMt","Approved","null",832
9,"GLAMiBuunBioazKwNbkGnWP6BM2sfVjehr4goPPGBFAC","Approved","null",856
10,"EQ3shuUQpZwu5v6m2c1hMa2DdVvdUC3aSYCbX2xcT7BP","TestnetOnboarded",269,"null"
12,"BDLNW7hKdMWb1up53H3ydAkHSWWUHv7ZDQRJtZmxFPnF","TestnetOnboarded",1296,"null"
13,"6dpdFgXyTGFTQkefKNTx6qgqwGEQa9GE1msghJTZoxQJ","Pending","null","null"
14,"FMK3W5Vtd5odf9vZ8NRXRxJDWQXYatrBq78V8d9oD4fQ","Pending","null","null"
15,"6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U","Approved","null",844
16,"LowiqKsoSCaHhHmFJPHJexuUNrdUFFTJu3414JdzuQ3","Pending","null","null"
17,"DRFh448Zz6AaHLJPZTgSw4fwv3eu776Db5RYEY4BqT7X","Pending","null","null"
18,"DLq8FWsQyzkr21wpeM68mpnPEVuHLMGXwM9HPx52agW","Pending","null","null"
19,"Es6WpDZF4v7Cu6nfC13gNsCovzuVry8jRy1CwuUuogGj","Pending","null","null"
20,"CavAGnedA6B84nWKKJ72y6aSfKt1EoC1B5dZVGM1RrCq","Pending","null","null"
21,"AhdbmyFow5xmXcEs6bqRhzq5zRV1EFxwkCRSgn65w1Bf","Pending","null","null"
22,"3tyZxRuUyh4itbPKWFHzciHemRKq2rq6QQbjo5VBiPD5","Approved","null",850
23,"448jZZ4i1o5CGqgruLZG159NToMYqqH2V6UF7x8VX4My","Pending","null","null"
24,"9JGrnPB5wyLUFqYsFhvQxRQ97T5TBqV9ec3rW3UMf15C","Pending","null","null"
25,"4dbthXNuFqwaCefHiBgrcNRk5t8WZ3ttZFX4F5rym49J","TestnetOnboarded",380,"null"
26,"CMY3eV4xRpU8HrZk5hGsThjtszsZVxvrLqwCv6YgwE9i","TestnetOnboarded",1540,"null"
27,"SENDa18d6LsC1f85AJXXMncBxQyFQKSJWZ1jaop5K87","TestnetOnboarded",1587,"null"
28,"EjLzhr8fCAJYkmysg2d2PZLT1smuXww9Ks8ihga915w4","Pending","null","null"
29,"AHCgpxbkBDorrPWLA4ZkqpoT4v65vLjHPaV3aRBtdiwF","TestnetOnboarded",1258,"null"
30,"HhcCFjfu41bbx9cy3aGgpvBwSQWfKJbdgz8w8MrEDAGy","Pending","null","null"
31,"FAmVpVEHMLAXpzQWPBcKvvGWRZFmCWHX5KHSL5N1LvCo","TestnetOnboarded",1366,"null"
32,"5XKJwdKB2Hs7pkEXzifAysjSk6q7Rt6k5KfHwmAMPtoQ","Approved","null",577
34,"5Nr1SqknytQXDaDPTZELHvJRj21TnATv1bZ5Gd1LQCA8","Pending","null","null"
35,"JEz865PrGtMHsKope27BETXtBDSNeFo4hVtbfsiF64f","TestnetOnboarded",25,"null"
36,"9ecKipnBQgwLthhRHL9VPjMPtWMKhBGAY9Avx6Pq5e7g","TestnetOnboarded",1128,"null"
37,"6M9KXLbzTpkY4o1Ps9oQdd9QNZQ7tHmBGURYjcGZjyML","TestnetOnboarded",1588,"null"
39,"CARBN9PY1Qej1aCg4885pfoYH8EHfjWuMy59pVa48ky","Approved","null",845
40,"3YX7PQuESmR2h95FDgjahEQjyCBhmY1Ts2MsrM1Kg9DS","Approved","null",818
41,"GWJyUxzcVwRRtpLuLiu1mpiUQsZ4onYFAYfCjQnuLmz5","Approved","null",825
42,"Cvhq6EuK4iDbSVK2p8zsKiceLcWGhFs3dhnRfvwEwcgf","Pending","null","null"
43,"F8fD96SEnryyBvvtP8iF8UfL7vSSGk6Uz8mbpMBb35yJ","TestnetOnboarded",1130,"null"
44,"GqC5AnpNQFTQNPWBHXgJWxXQpCKNFGoqbdHYWjawKBj7","TestnetOnboarded",27,"null"
45,"4QpbC86ycUZXNPxf1NbxdjFpxBBC76CZLKoCtnrAFDo6","TestnetOnboarded",369,"null"
46,"2wdE3T5K2pdQzUZik5PS3wafJJKfY6yiUoCy3AxTEt5i","TestnetOnboarded",527,"null"
47,"uDBRw12DRLMrtvNHLrM3ZJsHa6xPAWhj1X9orPMPSFT","TestnetOnboarded",808,"null"
48,"4TL86xPQcx52Ye5Cjz6nt4ATBFMAVGqi5csk8y6HTpmj","TestnetOnboarded",1219,"null"
49,"etherUisfbmZze6spQmtv3MD2VUCEfqJV1xjVcN6nbc","TestnetOnboarded",1379,"null"
51,"NorthEW22c4RsnaofF2em2MVdRe276bRotJsXA1jFzb","TestnetOnboarded",1504,"null"
52,"2N7v8pDKDYhtBUJBQUgxvysUjgM9s4ULPCmeEiPWTf6Z","Approved","null",846
53,"FbRNfytPT3x8e2PDEcjryh2XMzFXb6nvtjyYZXsxDzca","TestnetOnboarded",1343,"null"
54,"4PHefzBL6JrryHTqGywd7fjjNQZS8Vbn4ipUUKTEDPtx","TestnetOnboarded",893,"null"
55,"CB7XW9L7aHftvvNEr8o8HKkmemYcvNeE9TUaKLo5CWfz","TestnetOnboarded",984,"null"
56,"G78FufFZsq5oaJYtLHxM1Uy3mqmPpCMnsZSZJCkKjKtB","TestnetOnboarded",1093,"null"
59,"HYzrS4BDfmFiWmwaJr7YjCyMWBWeXP833MeCDNdyCW9w","TestnetOnboarded",613,"null"
60,"Bora78ZS5jPFf1nLGHScizjd7sT944JUaJq7JN3wquS9","TestnetOnboarded",1303,"null"
61,"2hGgVoDdtk4bZWAStJwoVLxvuHhdVzu35hLFNaHdZMqc","TestnetOnboarded",1394,"null"
62,"ReFiqMfGnc7tW8WQtFFcJRPZSDAWDBnAsdoFYF2QnfR","TestnetOnboarded",1579,"null"
63,"9ERJi8tYvdkmsyy5vqYCfToaAeDzeHGyY7CvwvPWdj78","TestnetOnboarded",1367,"null"
64,"B59o6F525XXmKL5NEUaYiLsUXUHu6saAWcHfVEsm3eLb","TestnetOnboarded",1133,"null"
65,"5hyYQc7D5t8F2VeRPamvJeU5bBUbsxaYYBc3aU3vtX8n","TestnetOnboarded",35,"null"
66,"HMJdhJt7rudgnPB6mnvu3aofEsCypbJmAyKFq3gaUpNL","TestnetOnboarded",1299,"null"
67,"CA28rQTRVkd4waPnoku2eVysCGC5QF4tSzHHQHqSznPG","TestnetOnboarded",1583,"null"
69,"PKdLMugp1Mf88Ji1GkdqRDBewaUh2cqg79CBEo6eJoQ","Approved","null",845
70,"AJUDVnPbXpQCeez2X94FcQueWm8D5zHQVAv9JKnD2xjs","Pending","null","null"
71,"5zm9g3zgAPWzX3wmUB2JtTkcwCqe74NWsTmt5wLFwCKK","Approved","null",800
72,"8rBs9QAR7Fv4KH37HTyRhaiHD9fTZo2RSEf7c1K8oWYx","TestnetOnboarded",1535,"null"
73,"8j8VLucdhGatNnhF6C41iSLkKvNFP44C747siMq97mTu","TestnetOnboarded",492,"null"
74,"CZXSpwDsxyPTmWSmcBuDERj6PMMBTmNxgqJTaEQK98XE","TestnetOnboarded",1342,"null"
75,"FcVsAPNpEQAH8jG8jTxTFiVwAVt7vPauzengwjw8W7RM","TestnetOnboarded",834,"null"
77,"1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG","Approved","null",845
78,"67aAfL1q59NxPLRG9sY9cPCRBzbRkppBqT8CMCfR7sPS","TestnetOnboarded",199,"null"
79,"9wgLbeycXaaVffDibmXhCSgVgPawrU8m8RMxGpq8vBjb","Pending","null","null"
80,"4QrcCTmhs1o4dvTt9yrwdGmDbF8Jvq42meW7Q95MKyut","Pending","null","null"
81,"DSEt2tg5JdFjASHb5eQqbHsuyVc7roULB2xYMdy1gKhp","Pending","null","null"
82,"RLMS1pv3YKi7CSUCKTNcFN5fFkXJc2SmCwPhbQpqZJo","Approved","null",827
83,"c8uFHPCTihkAQZ97YGPKNtAsAaKXFKhRMDCmvvrN9R8","Pending","null","null"
84,"HdLF9AN1tpycocYNbn7PTMXRbyAdH5Z9vzSX1qZFA3VL","TestnetOnboarded",62,"null"
85,"CQrCFgn6t2Y2oaVDoTRQJEHzNZDr3TfUcpdXLMH6BYM1","TestnetOnboarded",1013,"null"
86,"HnXtDkGanRM7EEDqnV1dTrgR6LhnnWaKm6MAXeHaQstM","TestnetOnboarded",1082,"null"
