"Mainnet Pubkey","Testnet Pubkey","state","Onboarding Priority","Mainnet Onboarding Epoch"
"6dpdFgXyTGFTQkefKNTx6qgqwGEQa9GE1msghJTZoxQJ","FJWW4SFofCrCHM2kW6G7axrBeoJYukgLqqrgQ6uyKPuf","Approved","---",863
"7nzTzRZzezmugqE5ZjHRMxarhXunpwZ2PUdjV7uYzt7A","JAdJizeQExgJQpWwxzXpABv66cLYteUXQ1uiwWqCdiTC","Approved","---",863
"DRFh448Zz6AaHLJPZTgSw4fwv3eu776Db5RYEY4BqT7X","Hr2K4BSyVtLoy2NDjPaD1Go92V3ySzpy7zSK2z7vXNzw","Approved","---",860
"svsD6T44XJnuXQWB15sy1pBxxruzrFy8rR7gXy8Jsj3","testFLBSwLhcJSoPAfcB6KfLPGYb3jacb1wFZhjvJew","Approved","---",860
"ViviahcScNWhdVhmSekAc5QGEJyEHRDs819waqQ83xg","Vivi5hzSGU14pQaWoE4ggVAtwQUEG9c1gX5nBkhJtn7","Approved","---",860
"etherUisfbmZze6spQmtv3MD2VUCEfqJV1xjVcN6nbc","etherWiQVggJ3FqXJP832q9tNiARA2Ms74dP98y6fSq","Approved","---",860
"KAW1LjxH73tRBd1XsaqsRsgeERFkg4WpdXUSqR4QjkW","8ZxdZBDBK1639owxLwig7bH1h6XkVc4U9DKAwojpLxqi","Approved","---",860
"ReFiqMfGnc7tW8WQtFFcJRPZSDAWDBnAsdoFYF2QnfR","HUBezcyMaGNWavekoHkgoWcMEfaQXB5M9Mq8oPAuvnvq","Approved","---",860
"SENDa18d6LsC1f85AJXXMncBxQyFQKSJWZ1jaop5K87","AziKupRPK4Yvb7XmPVvWPdirQJnxFMZVryq38BPi7p8p","Approved","---",860
"KAoSp3EudGqUBXv46tQoDwbZxSm3iXa9wM2aF4ySbJJ","AZuZXn35HGt9fGoi7X3o6N7V2hywtz5B2cYpMtW2Xn9d","Approved","---",860
"EATpCzQNs8BzZh1mx1hXMAJm3o1MLXakTXr4UEmcsY7f","DaKLYPtZWzhr8YLoijysi6xXqzuzAsDf8jHDerzkbhxL","Approved","---",860
"ECZx4Dfyn2o55KTYbM9r3Dt4VZRcrdfdrst7sUbWgrdU","3Y4wkURAahySj7p8GuMjXSYosqTvP7UqPj7yjhRxgVoJ","Approved","---",858
"GLAMiBuunBioazKwNbkGnWP6BM2sfVjehr4goPPGBFAC","idLeAyqmSs1w9CTnRHcWeY6v4E21FeuAbi3p3V3kpxU","Approved","---",856
"R2D2imoV8nXk1ngT9v4dEK65We4uLNyUarTBdWbFruq","RoboY7X2YQb4sNYac58qD3sN7LEi59w7fNpfPFGfBgp","Approved","---",856
"fdzip81euDS8jEZHx5H1mn27zGVMLzkgpQuzYRBfBYG","Ck74pPXTjMV92A6qBTrYdrYr3PGC4toBMm9zQ9PsiyPJ","Approved","---",856
"3tyZxRuUyh4itbPKWFHzciHemRKq2rq6QQbjo5VBiPD5","CiSXnedCAKfMHbcRAQeoHubHBkjDhvd7vUBfC2PK4wQV","Approved","---",850
"9jJ3YRBL611e7xjXFMBExuninmTWjDnv3FXNotHmPnK2","CiJ2HsRXKBbbTzD9xekgoGKWUikAF8VY3VDuMwc5gx1P","Approved","---",849
"2N7v8pDKDYhtBUJBQUgxvysUjgM9s4ULPCmeEiPWTf6Z","Co7YV6beN8kHoC9M49DAGuVtLdruqMDEZn9D8NY92LXE","Approved","---",846
"LiFiDJwJjW98MB8wxcnXpafKYsuz1hwpUkuszkERiX6","LiFiDYeVcHAVHCqDEwtksu6HP71La8rsctyfgBVwe7b","Approved","---",846
"pineXRUnbaLNFMxaM3zBmFfTiKgQMGqT9jYHXZWq2Fw","pineBbb5K6SdV6KG1xibsR5DM1XsWuajtXSy3YYGY4N","Approved","---",845
"CARBN9PY1Qej1aCg4885pfoYH8EHfjWuMy59pVa48ky","CaRBngTHWFkmUjMjXT8CRZAL42KzXA8ppa9aMP5DZHsK","Approved","---",845
"PKdLMugp1Mf88Ji1GkdqRDBewaUh2cqg79CBEo6eJoQ","pkdnU34UK2vExSS6viiCTt3ff3p8nVXv62zrER5tKjA","Approved","---",845
"1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG","1LinkUgfFm4VgoDhJRH71sn7BDRRiBqWEWg7ZHbt1T3","Approved","---",845
"ATLASnUj1UaihWWVDRBJm9zcD1Wu76Yd3HamUpT5ggdB","ATLAMw1Nm17dcKt2zoda1W8RTffuFqQkCtNfmLKpeQFD","Approved","---",845
"ES1M3tMZ4rMTJ3apE75cHfeGWizDTrMMXy2zKtWkd38R","7q8114grCVnACcQKab7y4ikYkeA8g7EKG3LZYRR1i8gc","Approved","---",845
"sfvTq7ojrEc5WdXcHijz676eX1pc5MgoLxbkYSdRDAB","sfXYzEoBcEkfspXJD5NxiXREqk9NntvG6gZigB4rZpv","Approved","---",845
"ABREU5YkQcfpDZymoQ97iGUgQcfgjctWUUxEMfumiPdV","ABREUdJAC11qwsdowkEdsPv7n4Kfp5K3Hxvsq3nm9HSd","Approved","---",845
"fhT6kkkJfBAkG8C5CPBQJqyiNfW47NSLhAQFvBFYmio","6MUqgbbG8uY8vYyk8uBnemNVEQtMpmdB6dJokJxvCYhk","Approved","---",845
"6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U","3hYRQy24ignXEKR6YsV1h4xyR35AhnBoegJiGxBoYxbA","Approved","---",844
"fishfishrD9BwrQQiAcG6YeYZVUYVJf3tb9QGQPMJqF","CPnMU6FAMLmK28SagfGS1BuyCBekDmzj9eV5zh4GpUXK","Approved","---",840
"prt1st4RSxAt32ams4zsXCe1kavzmKeoR7eh1sdYRXW","prt1stdbFCFXpEcx9rxwJK63zhYo43V5JCXzGWXkPGn","Approved","---",838
"TxtxXzLTDQ9W4ya3xgwyaqVa6Tky6Yqhi5BLpPCc9tZ","txtXxyX13G7h899vnZwNJsVRAMfWcwYZNT3jucRqqiW","Approved","---",838
"kyzzzgRymGpePUsLyr48kQHt53kh5CSfRH1qfvz1xgj","kytttTfRN3WCd1vsMKUTcYCYbXDP48kS7rLNuVmgcnV","Approved","---",838
"BhNnboEZb3mKkVADMH11cYGWCqefAfmhzx5rU4eRTKGY","6NF5vPoxpgHG2a4SjfXPmqkUgwRCJQkwFtWVZkA1AogP","Approved","---",838
"parayLyZvwnGjDT2pGqrVn8UDxmNcdNQCE8uPRWMeRz","PARaNF4kcQW3BmaeMD3ELLAqUV7MDS8bMudaCEZ72NM","Approved","---",838
